ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;WPts;LPts
49;New York;US Open;01/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Kim K.;Sela D.;100;35;6;3;0;6;6;2;6;2;;;3;1;Completed;632;1244
49;New York;US Open;01/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Ball C.;Brzezicki J.P.;155;188;7;6;6;3;6;4;;;;;3;0;Completed;402;334
49;New York;US Open;01/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Querrey S.;Yani M.;22;253;6;3;7;5;6;3;;;;;3;0;Completed;1600;220
49;New York;US Open;01/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Dent T.;Lopez F.;196;37;4;6;7;6;6;3;7;5;;;3;1;Completed;314;1205
49;New York;US Open;01/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Navarro-Pastor I.;Karlovic I.;119;28;6;4;7;6;7;6;;;;;3;0;Completed;525;1360
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Murray A.;Gulbis E.;2;95;7;5;6;3;7;5;;;;;3;0;Completed;9610;640
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Monfils G.;Chardy J.;13;34;6;1;6;4;6;3;;;;;3;0;Completed;2475;1267
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Beck A.;Korolev E.;40;80;6;3;6;4;2;6;2;6;6;4;3;2;Completed;1115;732
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Melzer J.;Safin M.;38;58;1;6;6;4;6;3;6;4;;;3;1;Completed;1185;880
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Kiefer N.;Llodra M.;129;116;6;3;6;4;6;4;;;;;3;0;Completed;500;540
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Ferrero J.C.;Santoro F.;25;44;6;4;6;3;6;3;;;;;3;0;Completed;1490;1072
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Cuevas P.;Guccione C.;68;102;6;4;7;6;6;0;;;;;3;0;Completed;814;625
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Almagro N.;Darcis S.;33;97;6;2;6;4;2;6;7;6;;;3;1;Completed;1285;638
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Bellucci T.;Lu Y.H.;69;71;6;4;6;2;6;3;;;;;3;0;Completed;813;803
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Koellerer D.;Machado R.;62;109;6;2;6;4;2;6;6;2;;;3;1;Completed;862;585
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Nadal R.;Gasquet R.;3;46;6;2;6;2;6;3;;;;;3;0;Completed;9025;1045
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Acasuso J.;Daniel M.;47;57;6;2;6;4;6;3;;;;;3;0;Completed;1030;890
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Ginepri R.;Pavel A.;75;728;5;7;6;2;6;4;6;0;;;3;1;Completed;765;30
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Petzschner P.;Stakhovsky S.;39;132;7;6;6;7;6;4;4;6;6;3;3;2;Completed;1147;476
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Ferrer D.;Martin A.;19;93;7;5;5;7;6;3;6;3;;;3;1;Completed;1890;664
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Del Potro J.M.;Monaco J.;6;41;6;3;6;3;6;1;;;;;3;0;Completed;5325;1110
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;1st Round;5;Simon G.;Gimeno-Traver D.;9;75;6;4;7;6;6;3;;;;;3;0;Completed;3410;765
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Hewitt L.;Chela J.I.;32;137;6;3;6;3;6;4;;;;;3;0;Completed;1285;467
49;New York;US Open;02/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Federer R.;Greul S.;1;65;6;3;7;5;7;5;;;;;3;0;Completed;12040;836
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Haas T.;Kendrick R.;21;77;6;4;6;4;7;6;;;;;3;0;Completed;1760;747
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Witten J.;Gonzalez M.;276;79;6;7;6;4;7;5;6;2;;;3;1;Completed;197;739
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Verdasco F.;Serra F.;10;61;6;3;6;0;6;3;;;;;3;0;Completed;3220;866
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Querrey S.;Kim K.;22;100;7;5;6;7;6;4;6;4;;;3;1;Completed;1600;632
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Robredo T.;Garcia-Lopez G.;15;50;6;2;4;6;6;2;6;4;;;3;1;Completed;2165;984
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Chiudinelli M.;Youzhny M.;161;60;2;6;7;6;6;4;6;3;;;3;1;Completed;386;870
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Davydenko N.;Hernych J.;8;70;6;4;6;1;6;2;;;;;3;0;Completed;3655;812
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Stepanek R.;Mayer L.;16;59;7;6;6;3;6;4;;;;;3;0;Completed;2000;879
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Blake J.;Rochus O.;23;90;6;4;3;6;7;6;6;3;;;3;1;Completed;1520;678
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Soderling R.;Granollers M.;12;88;2;0;;;;;;;;;0;0;Retired;2665;680
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Isner J.;Ilhan M.;55;231;6;3;6;4;7;6;;;;;3;0;Completed;914;243
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Djokovic N.;Ball C.;4;155;6;3;6;4;6;4;;;;;3;0;Completed;7660;402
49;New York;US Open;03/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Kohlschreiber P.;Devvarman S.;24;162;6;3;6;4;0;6;6;2;;;3;1;Completed;1510;386
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Roddick A.;Gicquel M.;5;81;6;1;6;4;6;4;;;;;3;0;Completed;5720;729
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Tsonga J.W.;Nieminen J.;7;54;7;5;6;3;6;4;;;;;3;0;Completed;3920;924
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Ferrero J.C.;Petzschner P.;25;39;1;6;3;6;6;4;6;2;6;4;3;2;Completed;1490;1147
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Cilic M.;Levine J.;17;135;4;6;2;6;6;0;6;3;6;0;3;2;Completed;1985;470
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Benneteau J.;Troicki V.;43;31;6;1;3;6;6;1;6;0;;;3;1;Completed;1079;1320
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Del Potro J.M.;Melzer J.;6;38;7;6;6;3;6;3;;;;;3;0;Completed;5325;1185
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Istomin D.;Lapentti N.;108;163;2;6;6;4;4;6;7;5;7;6;3;2;Completed;587;383
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Berdych T.;Zeballos H.;18;76;6;3;6;7;7;6;6;2;;;3;1;Completed;1945;750
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Koellerer D.;Cuevas P.;62;68;3;6;6;2;6;1;6;4;;;3;1;Completed;862;814
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Simon G.;Bellucci T.;9;69;6;3;6;2;6;4;;;;;3;0;Completed;3410;813
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Murray A.;Capdeville P.;2;87;6;2;3;6;6;0;6;2;;;3;1;Completed;9610;685
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Almagro N.;Ginepri R.;33;75;6;7;6;2;6;3;4;6;6;4;3;2;Completed;1285;765
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Gonzalez F.;Ouanna J.;11;103;6;4;6;7;6;3;6;4;;;3;1;Completed;2825;623
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Monfils G.;Beck A.;13;40;6;3;7;5;6;3;;;;;3;0;Completed;2475;1115
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Dent T.;Navarro-Pastor I.;196;119;6;4;5;7;6;7;7;5;7;6;3;2;Completed;314;525
49;New York;US Open;04/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Acasuso J.;Ferrer D.;47;19;6;3;3;6;1;6;6;3;6;2;3;2;Completed;1030;1890
49;New York;US Open;05/09/2009;Grand Slam;Outdoor;Hard;2nd Round;5;Nadal R.;Kiefer N.;3;129;6;0;3;6;6;3;6;4;;;3;1;Completed;9025;500
